Classifier,Feature Set,Accuracy,F1 Score,Accuracy Std,F1 Std,Best Params
Naive Bayes (Set 1),Set 1,0.4911233127430794,0.5488322275670332,0.2837642276457744,0.20414349470630733,{'var_smoothing': 1e-06}
Decision Tree (Set 2),Set 2,0.5707160832761382,0.6076539105838606,0.08339050023866143,0.0680395654805743,"{'max_depth': 5, 'min_samples_leaf': 20}"
KNN (Set 3),Set 3,0.5729352550903684,0.5717746690013571,0.0663548302817649,0.059941051139961544,"{'n_neighbors': 15, 'p': 2}"
Voting (Soft),Set 3,0.5535346602608098,0.5431897956809039,0.13359157235837898,0.079753690030834,N/A
Voting (Hard),Set 3,0.5835964310226492,0.5860710331060096,0.08800965752198892,0.08195587869838036,N/A
